Highest Charting Position,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms)
1,0.714,0.8,-4.808,0.0504,0.127,0.359,134.002,211560
2,0.591,0.764,-5.484,0.0483,0.0383,0.103,169.928,141806
1,0.563,0.664,-5.044,0.154,0.335,0.0849,166.928,178147
3,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,231041
5,0.736,0.704,-7.409,0.0615,0.0203,0.0501,149.995,212000
1,0.61,0.508,-6.682,0.152,0.297,0.384,178.818,137876
3,0.762,0.701,-3.541,0.0286,0.235,0.123,110.968,208867
2,0.78,0.718,-3.605,0.0506,0.31,0.0932,127.949,199604
3,0.644,0.648,-4.601,0.118,0.276,0.135,179.951,206710
8,0.75,0.608,-4.008,0.0387,0.00165,0.178,132.507,173347
4,0.702,0.825,-3.787,0.0601,0.00883,0.0674,102.977,203064
9,0.891,0.819,-3.964,0.106,0.0261,0.173,101.968,217773
5,0.702,0.741,-5.33,0.0427,0.00544,0.337,124.925,187585
1,0.677,0.696,-6.181,0.119,0.321,0.42,90.03,198082
2,0.759,0.459,-5.187,0.0948,0.00323,0.0906,109.997,164442
7,0.38,0.339,-7.885,0.0338,0.691,0.12,100.607,229227
3,0.442,0.612,-7.222,0.112,0.584,0.37,180.917,215507
5,0.65,0.825,-4.645,0.0325,0.0215,0.0936,118.091,191014
14,0.743,0.655,-5.015,0.159,0.114,0.0764,172.031,261335
20,0.664,0.609,-6.509,0.0707,0.304,0.0926,130.041,210560
19,0.659,0.688,-4.649,0.0673,0.207,0.113,153.979,273474
22,0.855,0.488,-4.601,0.208,0.506,0.347,124.097,174253
1,0.561,0.431,-8.81,0.0578,0.768,0.106,143.875,242013
24,0.761,0.525,-6.9,0.0944,0.44,0.0921,80.87,238805
1,0.514,0.73,-5.934,0.0598,0.00146,0.0897,171.005,200040
12,0.395,0.443,-9.72,0.133,0.765,0.0839,168.924,175933
27,0.762,0.766,-3.955,0.0343,0.00776,0.128,130.001,287120
18,0.797,0.631,-3.818,0.0786,0.0904,0.0998,129.915,184213
15,0.824,0.862,-3.424,0.126,0.0076,0.303,122.98,169153
3,0.778,0.695,-6.865,0.0913,0.175,0.15,149.996,132780
5,0.586,0.616,-7.964,0.0324,0.182,0.0927,148.088,242096
32,0.666,0.796,-6.967,0.103,0.0492,0.0442,110.108,164842
11,0.369,0.272,-10.497,0.0364,0.866,0.147,172.929,152667
10,0.715,0.622,-5.102,0.046,0.163,0.0948,80.015,195053
4,0.548,0.816,-4.209,0.0465,0.122,0.335,95.39,174000
3,0.789,0.536,-6.862,0.242,0.41,0.129,81.039,165926
15,0.828,0.621,-6.414,0.0565,0.0164,0.0845,128.986,186173
39,0.816,0.71,-3.728,0.0398,0.165,0.292,93.02,208631
1,0.731,0.573,-10.059,0.0544,0.401,0.113,109.928,205090
41,0.85,0.541,-4.522,0.0674,0.161,0.286,92.003,165275
